,,CEV,GBM,CEV,GBM,CEV,GBM,CEV,GBM
Asset,Weight,HitRatio,HitRatio,RMSE,RMSE,MAPE,MAPE,NRMSE,NRMSE
adesso,0.7,0,0,359.283,268.538,335.783,255.611,3.258,2.435
,0.75,0.267,0.413,69.315,47.275,65.185,45.041,0.674,0.46
,0.8,0.031,0.082,87.809,67.737,90.142,70.668,0.931,0.718
,0.85,0.382,0.657,36.523,26.726,38.069,28.103,0.405,0.297
,0.9,0.711,0.742,16.694,13.348,18.002,13.961,0.198,0.158
,0.95,0.548,0.712,15.292,12.731,14.844,12.479,0.17,0.142
,mean,0.323,0.434,97.486,72.726,93.67,70.9771,0.939,0.702
dax,0.7,0.695,0.849,4740.917,2483.168,31.299,16.822,0.338,0.177
,0.75,0.961,0.992,2295.472,2060.912,13.602,8.68,0.156,0.14
,0.8,0.901,0.922,1769.151,2468.341,9.357,10.05,0.116,0.162
,0.85,0.802,0.715,2638.619,3679.873,10.88,15.537,0.161,0.225
,0.9,0.78,0.741,2500.187,3247.213,9.231,12.118,0.144,0.187
,0.95,0.434,0.409,3410.072,3831.965,13.033,14.798,0.171,0.192
,mean,0.762,0.771,2892.403,2961.912,14.567,13.0,0.181,0.181
lufthansa,0.7,0.617,0.146,3.305,3.298,40.427,40.533,0.462,0.461
,0.75,0.882,0.748,1.896,2.003,20.463,21.536,0.265,0.28
,0.8,0.809,0.686,1.816,1.98,18.91,21.524,0.249,0.271
,0.85,0.206,0.227,3.355,2.872,46.841,39.887,0.458,0.392
,0.9,0.895,0.829,0.962,0.915,13.114,12.218,0.144,0.137
,0.95,0.863,0.773,0.908,0.97,9.646,10.237,0.133,0.142
,mean,0.712,0.568,2.040,2.006,24.9,24.323,0.285,0.2805
